source_code,frequency,intermediate_concept_id,intermediate_code,intermediate_name,intermediate_vocabulary,target_concept_id,target_code,target_name,target_vocabulary,domain_id
I109,2461218,45591453,I10,Essential (primary) hypertension,ICD10 code,320128,59621000,Essential hypertension,SNOMED,Condition
I489,1071018,45755409,I48.9,"Atrial fibrillation and atrial flutter, unspecified",ICD10 code,4108832,195080001,Atrial fibrillation and flutter,SNOMED,Condition
E119,895595,45561952,E11.9,Non-insulin-dependent diabetes mellitus without complications,ICD10 code,4193704,313436004,Type 2 diabetes mellitus without complication,SNOMED,Condition
H259,867782,45552640,H25.9,"Senile cataract, unspecified",ICD10 code,381295,39450006,Age-related cataract,SNOMED,Condition
Z491,775870,45537649,Z49.1,Extracorporeal dialysis,ICD10 code,4120120,302497006,Hemodialysis,SNOMED,Procedure
I252,741997,45601025,I25.2,Old myocardial infarction,ICD10 code,314666,1755008,Old myocardial infarction,SNOMED,Condition
Z921,693791,45600378,Z92.1,Personal history of long-term (current) use of anticoagulants,ICD10 code,4215685,416940007,Past history of procedure,SNOMED,Observation
Z090,665638,45576131,Z09.0,Follow-up examination after surgery for other conditions,ICD10 code,4307024,390906007,Follow-up encounter,SNOMED,Observation
I509,596390,45576879,I50.9,"Heart failure, unspecified",ICD10 code,316139,84114007,Heart failure,SNOMED,Condition
I209,553688,45562339,I20.9,"Angina pectoris, unspecified",ICD10 code,321318,194828000,Angina pectoris,SNOMED,Condition
C619,529278,45547509,C61,Malignant neoplasm of prostate,ICD10 code,4163261,399068003,Malignant tumor of prostate,SNOMED,Condition
H353,516735,45543033,H35.3,Degeneration of macula and posterior pole,ICD10 code,4146103,267611002,Degeneration of macula and posterior pole,SNOMED,Condition
Z961,488289,45585885,,Presence of intraocular lens,,4059467,,H/O: artificial eye lens,SNOMED,
R074,480738,45558450,R07.4,"Chest pain, unspecified",ICD10 code,77670,29857009,Chest pain,SNOMED,Condition
N185,462709,45582394,N18.5,"Chronic kidney disease, stage 5",ICD10 code,443611,433146000,Chronic kidney disease stage 5,SNOMED,Condition
I259,426963,45552784,I25.9,"Chronic ischemic heart disease, unspecified",ICD10 code,315286,413838009,Chronic ischemic heart disease,SNOMED,Condition
E785,394882,45537986,E78.5,"Hyperlipidemia, unspecified",ICD10 code,432867,55822004,Hyperlipidemia,SNOMED,Condition
I489B,372951,45755409,I48.9,"Atrial fibrillation and atrial flutter, unspecified",ICD10 code,4108832,195080001,Atrial fibrillation and flutter,SNOMED,Condition
Z951,356307,45556881,Z95.1,Presence of aortocoronary bypass graft,ICD10 code,312922,251019006,Coronary bypass graft finding,SNOMED,Condition
Z955,352864,45542496,Z95.5,Presence of coronary angioplasty implant and graft,ICD10 code,4158567,373108000,Post percutaneous transluminal coronary angioplasty,SNOMED,Condition
M171,344709,45596493,M17.1,Other primary gonarthrosis,ICD10 code,4079750,239873007,Osteoarthritis of knee,SNOMED,Condition
J449,323585,45548115,J44.9,"Chronic obstructive pulmonary disease, unspecified",ICD10 code,255573,13645005,Chronic obstructive lung disease,SNOMED,Condition
C509,302891,45547505,C50.9,"Malignant neoplasm of breast, unspecified",ICD10 code,4162253,372137005,Primary malignant neoplasm of breast,SNOMED,Condition
M059,293356,45553050,M05.9,"Seropositive rheumatoid arthritis, unspecified",ICD10 code,4035611,239791005,Seropositive rheumatoid arthritis,SNOMED,Condition
N409,278891,45563015,N40,Hyperplasia of prostate,ICD10 code,197032,433234005,Hyperplasia of prostate,SNOMED,Condition
H401,268751,45533312,H40.1,Primary open-angle glaucoma,ICD10 code,435262,77075001,Primary open angle glaucoma,SNOMED,Condition
R104,260606,45568113,R10.4,Other and unspecified abdominal pain,ICD10 code,200219,21522001,Abdominal pain,SNOMED,Condition
M161,257136,45591741,M16.1,Other primary coxarthrosis,ICD10 code,4079749,239872002,Osteoarthritis of hip,SNOMED,Condition
Z510,249394,45609946,Z51.0,Radiotherapy session,ICD10 code,4205728,53438000,Radiation therapy procedure or service,SNOMED,Procedure
N189,246658,45553438,N18.9,"Chronic renal failure, unspecified",ICD10 code,198185,90688005,Chronic renal failure,SNOMED,Condition
Z950,243626,45571406,Z95.0,Presence of cardiac pacemaker,ICD10 code,40479553,441509002,Cardiac pacemaker in situ,SNOMED,Observation
L570,230233,45591640,L57.0,Actinic keratosis,ICD10 code,138825,201101007,Actinic keratosis,SNOMED,Condition
I489A,223853,45755409,I48.9,"Atrial fibrillation and atrial flutter, unspecified",ICD10 code,4108832,195080001,Atrial fibrillation and flutter,SNOMED,Condition
I208,222010,45543166,I20.8,Other forms of angina pectoris,ICD10 code,321318,194828000,Angina pectoris,SNOMED,Condition
E039,216079,45537945,E03.9,"Hypothyroidism, unspecified",ICD10 code,140673,40930008,Hypothyroidism,SNOMED,Condition
E113,211490,45591028,E11.3,Non-insulin-dependent diabetes mellitus with ophthalmic complications,ICD10 code,443733,422099009,Diabetic oculopathy associated with type 2 diabetes mellitus,SNOMED,Condition
R429,210842,45568132,R42,Dizziness and giddiness,ICD10 code,433316,271789005,Dizziness and giddiness,SNOMED,Condition
I693,207612,45533476,I69.3,Sequelae of cerebral infarction,ICD10 code,4112026,195243003,Sequelae of cerebral infarction,SNOMED,Condition
I639,204935,45596216,I63.9,"Cerebral infarction, unspecified",ICD10 code,443454,432504007,Cerebral infarction,SNOMED,Condition
