source_code,intermediate_code,intermediate_concept_id,intermediate_name,intermediate_vocabulary,target_concept_id,target_name,target_vocabulary
I109,I10,45591453,Essential (primary) hypertension,ICD10,320128,Essential hypertension,SNOMED
I489,I48.9,45755409,"Atrial fibrillation and atrial flutter, unspecified",ICD10,4108832,Atrial fibrillation and flutter,SNOMED
E119,E11.9,45561952,Non-insulin-dependent diabetes mellitus without complications,ICD10,4193704,Type 2 diabetes mellitus without complication,SNOMED
H259,H25.9,45552640,"Senile cataract, unspecified",ICD10,381295,Age-related cataract,SNOMED
Z491,Z49.1,45537649,Extracorporeal dialysis,ICD10,4120120,Hemodialysis,SNOMED
I252,I25.2,45601025,Old myocardial infarction,ICD10,314666,Old myocardial infarction,SNOMED
Z921,Z92.1,45600378,Personal history of long-term (current) use of anticoagulants,ICD10,4215685,Past history of procedure,SNOMED
Z090,Z09.0,45576131,Follow-up examination after surgery for other conditions,ICD10,4307024,Follow-up encounter,SNOMED
I509,I50.9,45576879,"Heart failure, unspecified",ICD10,316139,Heart failure,SNOMED
I209,I20.9,45562339,"Angina pectoris, unspecified",ICD10,321318,Angina pectoris,SNOMED
C619,C61,45547509,Malignant neoplasm of prostate,ICD10,4163261,Malignant tumor of prostate,SNOMED
H353,H35.3,45543033,Degeneration of macula and posterior pole,ICD10,4146103,Degeneration of macula and posterior pole,SNOMED
Z961,,45585885,Presence of intraocular lens,,4059467,H/O: artificial eye lens,SNOMED
R074,R07.4,45558450,"Chest pain, unspecified",ICD10,77670,Chest pain,SNOMED
N185,N18.5,45582394,"Chronic kidney disease, stage 5",ICD10,443611,Chronic kidney disease stage 5,SNOMED
I259,I25.9,45552784,"Chronic ischemic heart disease, unspecified",ICD10,315286,Chronic ischemic heart disease,SNOMED
E785,E78.5,45537986,"Hyperlipidemia, unspecified",ICD10,432867,Hyperlipidemia,SNOMED
I489B,I48.9,45755409,"Atrial fibrillation and atrial flutter, unspecified",ICD10,4108832,Atrial fibrillation and flutter,SNOMED
Z951,Z95.1,45556881,Presence of aortocoronary bypass graft,ICD10,312922,Coronary bypass graft finding,SNOMED
Z955,Z95.5,45542496,Presence of coronary angioplasty implant and graft,ICD10,4158567,Post percutaneous transluminal coronary angioplasty,SNOMED
M171,M17.1,45596493,Other primary gonarthrosis,ICD10,4079750,Osteoarthritis of knee,SNOMED
J449,J44.9,45548115,"Chronic obstructive pulmonary disease, unspecified",ICD10,255573,Chronic obstructive lung disease,SNOMED
C509,C50.9,45547505,"Malignant neoplasm of breast, unspecified",ICD10,4162253,Primary malignant neoplasm of breast,SNOMED
M059,M05.9,45553050,"Seropositive rheumatoid arthritis, unspecified",ICD10,4035611,Seropositive rheumatoid arthritis,SNOMED
N409,N40,45563015,Hyperplasia of prostate,ICD10,197032,Hyperplasia of prostate,SNOMED
H401,H40.1,45533312,Primary open-angle glaucoma,ICD10,435262,Primary open angle glaucoma,SNOMED
R104,R10.4,45568113,Other and unspecified abdominal pain,ICD10,200219,Abdominal pain,SNOMED
M161,M16.1,45591741,Other primary coxarthrosis,ICD10,4079749,Osteoarthritis of hip,SNOMED
Z510,Z51.0,45609946,Radiotherapy session,ICD10,4205728,Radiation therapy procedure or service,SNOMED
N189,N18.9,45553438,"Chronic renal failure, unspecified",ICD10,198185,Chronic renal failure,SNOMED
Z950,Z95.0,45571406,Presence of cardiac pacemaker,ICD10,40479553,Cardiac pacemaker in situ,SNOMED
