source_code,source_name,target_concept_id,target_name
FNG06,Percutaneous transluminal coronary angioplasty withinsertion of stent,4006788,Percutaneous transluminal coronary angioplasty
FNG05,Percutaneous transluminal coronary angioplasty (PTCA) with implantation of a stent (in),4283892,Placement of stent in coronary artery
FXA00,Total cardiopulmonary bypass in normothermia or moderate hypothermia,4272324,Cardiopulmonary bypass operation
FNA00,Anastomosis between the artery thoracica internal and coronary artery,4168141,Anastomosis of thoracic artery to coronary artery single
FPE20,Implantation of transvenous pacemaker with atrial and ventrikelelektrod,4144921,Implantation of cardiac pacemaker
FNC20,Aortokoronar bypass with two vein graft,4228304,Aortocoronary artery bypass graft with two vein grafts
FNG00,Dilation of the coronary artery (s),4184832,Coronary angioplasty
FNC10,Aortokoronar bypass with simple vein graft,4063237,Aortocoronary artery bypass graft with vein graft
FNG02,Percutaneous transluminal coronary angioplasty (PTCA) (in),4006788,Percutaneous transluminal coronary angioplasty
FNC30,Aortokoronar bypass with three vein graft,4228305,Aortocoronary artery bypass graft with three vein grafts
FMD10,Implantation of biological aortic valve prosthesis,40480947,Replacement of aortic valve with tissue graft
FPB10,Kryoablation ectopic cardiac focus,4050570,Cryoablation operation for arrhythmia
FPB22,Transvenous radiofrequency ablation of aberrant conduction pathway or arytmifokus (i),4049987,Radiofrequency ablation operation for arrhythmia
FPB32,Transvenous radio frequency ablation of focus or pathway in vena pulmonalis,4049987,Radiofrequency ablation operation for arrhythmia
FPE00,Implantation of transvenous pacemaker with ventrikelelektrod,4204395,Insertion of permanent pacemaker with transvenous electrodes ventricular
FPE30,Replacing pulse generator on permanent transvenous pacemaker,4149327,Replacement of electronic heart device pulse generator
FMD00,Implantation of mechanical aortic valve prosthesis,4018561,Mechanical prosthetic aortic valve replacement
FWE00,Reoperation for deep haemorrhage,4201120,Control of hemorrhage
FNC40,Aortokoronar bypass with four vein grafts,4063237,Aortocoronary artery bypass graft with vein graft
FKB10,Anuloplastik ring at mitral insufficiency,4337061,Mitral annuloplasty using ring
FPG33,Implantation of transvenous cardioverter-defibrillators and atrial and ventricular electrode,4144899,Implantation of cardioverter defibrillator with two electrode leads
FWC00,Reoperation for deep infection,4298121,Infection control procedure
FPB20,Radio frequency ablation of aberrant cardiac focus (i),4049987,Radiofrequency ablation operation for arrhythmia
FCA50,Resection and reconstruction of the ascending aorta with a vascular prosthesis,44782479,Repair of ascending aorta
FPE96,Other implantation or replacement of transvenous pacemaker (i),4144921,Implantation of cardiac pacemaker
FJA12,Percutaneous transluminal biopsy of the right ventricle,4181954,Percutaneous transluminal biopsy of right ventricle
FXG00,Use of IABP,4163287,Cardioassist by aortic balloon pump
FPE26,Implantation of transvenous pacemaker with biventricular electrodes,4179363,Implantation of biventricular cardiac pacemaker system
FPJ00,Revision of pacemaker or electrodes,4209904,Revision of pacemaker electrode leads
FPE40,Replacement electrode for permanent transvenous pacemaker,4046707,Replacement of permanent transvenous electrodes
FPD96,Other operation for atrial fibrillation (i),4051932,Procedure for arrhythmia
FPG30,Implantation of transvenous cardioverter-defibrillator and ventricular lead,4137700,Implantation of cardioverter defibrillator with one electrode lead
FCA60,Resection of aortic root and ascending aorta with reimplantation of the coronary arteries and use of flap bearing Endoprosthesis,44782479,Repair of ascending aorta
FKD00,Implantation of mechanical mitralklaffprotes,4160418,Mechanical prosthetic mitral valve replacement
FPE10,Implantation of transvenous pacemaker with atrial lead,4144921,Implantation of cardiac pacemaker
FNA10,Sequential anastomoses between arteria thoracica internal and coronary arteries,4000733,Coronary artery bypass graft anastomosis of artery of thorax to coronary artery
FXA20,Total cardiopulmonary bypass deep hypothermia and cardiac arrest,4272324,Cardiopulmonary bypass operation
FWB00,Reoperation for superficial infection,4298121,Infection control procedure
FPG36,Implantation of transvenous cardioverter-defibrillator with biventricular electrodes,4050572,Implantation of automatic cardiac defibrillator
FNE96,Coronary bypass with other free arterial graft,4336464,Coronary artery bypass graft
FPH00,Transvenous extraction of transvenous systems,4099484,Removal of transvenous electrodes
FKC60,Resection of mitralklaffsegel with reconstruction,4337060,Mitral valve operation
FPG40,Replacing pulse generator in transvenous cardioverter-defibrillator systems,44782864,Replacement of pulse generator of automatic cardioverter/defibrillator
FXH00,Removal of IABP,4222272,Intraaortic balloon pump removal
FKC20,Mitral valve repair operation,4297235,Repair of mitral valve
UJD02,Gastroscopy,4297516,Endoscopy of stomach
UJD05,Gastroscopy with biopsy,4004241,Endoscopic biopsy of stomach
UJF32,Colonoscopy,4249893,Colonoscopy
NFB09,Primary partial prosthetic replacement of hip joint not using cement,4297365,Partial hip replacement by prosthesis
NFB19,Primary partial prosthetic replacement of hip joint using cement,4297365,Partial hip replacement by prosthesis
NFB29,Primary total prosthetic replacement of hip joint not using cement,4142077,Other total prosthetic replacement of hip joint
NFB39,Primary total prosthetic replacement of hip joint using hybrid technique,4142077,Other total prosthetic replacement of hip joint
NFB49,Primary total prosthetic replacement of hip joint using cement,4142077,Other total prosthetic replacement of hip joint
NFB62,Primary prosthetic replacement of joint surface of femoral head,4142077,Other total prosthetic replacement of hip joint
NFB99,Other primary prosthetic replacement of hip joint,4142077,Other total prosthetic replacement of hip joint
NFC09,Secondary implantation of partial prosthesis in hip joint not using,4142077,Other total prosthetic replacement of hip joint
NFC19,Secondary implantation of partial prosthesis in hip joint using cement,4142077,Other total prosthetic replacement of hip joint
NFC20,Secondary implantation of total prosthesis in hip joint not using cement - All parts,4142077,Other total prosthetic replacement of hip joint
NFC21,Secondary implantation of total prosthesis in hip joint not using cement - Single part - proximal,4142077,Other total prosthetic replacement of hip joint
NFC22,Secondary implantation of total prosthesis in hip joint not using cement - Single part - distal,4142077,Other total prosthetic replacement of hip joint
NFC23,Secondary implantation of total prosthesis in hip joint not using cement - Single part - other,4142077,Other total prosthetic replacement of hip joint
NFC29,Secondary implantation of total prosthesis in hip joint not using cement - Other or Unspecified,4142077,Other total prosthetic replacement of hip joint
NFC30,Secondary implantation of total prosthesis in hip joint using hybrid - All parts,4142077,Other total prosthetic replacement of hip joint
NFC31,Secondary implantation of total prosthesis in hip joint using hybrid - Single part - proximal,4142077,Other total prosthetic replacement of hip joint
NFC32,Secondary implantation of total prosthesis in hip joint using hybrid - Single part - distal,4142077,Other total prosthetic replacement of hip joint
NFC33,Secondary implantation of total prosthesis in hip joint using hybrid - Single part - other,4142077,Other total prosthetic replacement of hip joint
NFC39,Secondary implantation of total prosthesis in hip joint using hybrid - Other or Unspecified,4142077,Other total prosthetic replacement of hip joint
NFC40,Secondary implantation of total prosthesis in hip joint using cement - All parts,4142077,Other total prosthetic replacement of hip joint
NFC41,Secondary implantation of total prosthesis in hip joint using cement - Single part - proximal,4142077,Other total prosthetic replacement of hip joint
NFC42,Secondary implantation of total prosthesis in hip joint using cement - Single part - distal,4142077,Other total prosthetic replacement of hip joint
NFC43,Secondary implantation of total prosthesis in hip joint using cement - Single part - other,4142077,Other total prosthetic replacement of hip joint
NFC49,Secondary implantation of total prosthesis in hip joint using cement - Other or Unspecified,4142077,Other total prosthetic replacement of hip joint
NFC59,Secondary implantation of interposition prosthesis in hip joint,4142077,Other total prosthetic replacement of hip joint
NFC99,Other secondary prosthetic replacement in hip joint,4142077,Other total prosthetic replacement of hip joint
NGB09,Primary partial prosthetic replacement of knee joint not using cement,4079653,Uncemented unicompartmental knee replacement
NGB19,Primary partial prosthetic replacement of knee joint using cement,4079651,Cemented unicompartmental knee replacement
NGB29,Primary total prosthetic replacement of knee joint not using cement,4138874,Other total prosthetic replacement of knee joint
NGB39,Primary total prosthetic replacement of knee joint using hybrid technique,4138874,Other total prosthetic replacement of knee joint
NGB49,Primary total prosthetic replacement of knee joint using cement,4138874,Other total prosthetic replacement of knee joint
NGB53,,4138874,Other total prosthetic replacement of knee joint
NGB59,Primary prosthetic interposition arthroplasty of knee joint,4138874,Other total prosthetic replacement of knee joint
NGB99,Other primary prosthetic replacement of knee joint,4138874,Other total prosthetic replacement of knee joint
NGC09,Secondary implantation of partial prosthesis in knee joint not using,4138874,Other total prosthetic replacement of knee joint
NGC19,Secondary implantation of partial prosthesis in knee joint using cement,4138874,Other total prosthetic replacement of knee joint
NGC29,Secondary implantation of total prosthesis in knee joint not using,4138874,Other total prosthetic replacement of knee joint
NGC39,Secondary implantation of total prosthesis in knee joint using hybrid,4138874,Other total prosthetic replacement of knee joint
NGC49,Secondary implantation of total prosthesis in knee joint using cement,4138874,Other total prosthetic replacement of knee joint
NGC53,,4138874,Other total prosthetic replacement of knee joint
NGC59,Secondary implantation of interposition prosthesis in knee joint,4138874,Other total prosthetic replacement of knee joint
NGC99,Other secondary prosthetic replacement in knee joint,4138874,Other total prosthetic replacement of knee joint
