source_code,frequency,target_concept_id,target_concept_code,target_concept_name
W0199,255758,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1999,246400,45756257,W19,Unspecified fall causing accidental injury
Y883,97337,45755974,Y88,Sequelae with surgical and medical care as external cause
W0109,86993,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
Y831,82190,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
X5999,60466,45756412,X59,Exposure to unspecified factor as an external cause of morbidity and mortality
Y838,48406,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y579,46661,45756618,Y57,Adverse effects in the therapeutic use of other and unspecified drugs and medicaments
Y839,44125,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W0099,37519,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W0104,30161,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1099,27225,45756250,W10,Fall on and from stairs and steps causing accidental injury
Y869,25314,45547254,Y86,Sequelae of other accidents
Y832,23646,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W2299,20982,45756260,W22,Striking against or struck by other objects causing accidental injury
W1909,19325,45756257,W19,Unspecified fall causing accidental injury
W4499,15095,45756297,W44,Foreign body entering into or through eye or natural orifice causing accidental injury
X5099,14297,45756406,X50,Overexertion and strenuous or repetitive movements as an external cause of morbidity and mortality
W0101,13414,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
Y3499,13187,45756517,Y34,"Unspecified event, undetermined intent causing accidental injury"
W0119,11829,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0100,11562,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1009,10536,45756250,W10,Fall on and from stairs and steps causing accidental injury
W2999,10084,45756282,W29,Contact with other powered hand tools and household machinery causing accidental injury
W1199,10067,45756251,W11,Fall on and from ladder causing accidental injury
X5899,9881,45756411,X58,Exposure to other specified factors as an external cause of morbidity and mortality
Y600,9666,45756642,Y60,"Injury due to unintentional cut, puncture, perforation or hemorrhage during surgical and medical care"
W2399,9573,45756261,W23,"Caught, crushed, jammed or pinched in or between objects causing accidental injury"
W6499,9194,45756312,W64,Exposure to other and unspecified animate mechanical forces
W0149,8879,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0103,8409,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
V1899,8402,45756224,V18,Pedal cyclist injured in noncollision transport accident
Y846,7912,45605063,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
X6499,7708,45756443,X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
W1899,7649,45756256,W18,Other fall on same level causing accidental injury
Y830,7542,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W0108,7082,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0049,6733,45756242,W00,Fall on same level involving ice and snow causing accidental injury
Y836,6363,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
