source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
DR014,0,KVA-NOMESCO,Hemodiafiltration (i),4049845,SNOMED,1970-01-01,2099-12-31,
DR015,0,KVA-NOMESCO,"Hemodialys, akut (i)",46270933,SNOMED,1970-01-01,2099-12-31,
DR016,0,KVA-NOMESCO,"Hemodialys, kronisk (i)",46273700,SNOMED,1970-01-01,2099-12-31,
DR023,0,KVA-NOMESCO,"Peritonealdialys, akut",4324124,SNOMED,1970-01-01,2099-12-31,
DR024,0,KVA-NOMESCO,"Peritonealdialys, kronisk (i)",4021976,SNOMED,1970-01-01,2099-12-31,
DR029,0,KVA-NOMESCO,"Transfusion, erytrocyter, allogen",4022173,SNOMED,1970-01-01,2099-12-31,
DR030,0,KVA-NOMESCO,"Transfusion, erytrocyter, autolog",4037780,SNOMED,1970-01-01,2099-12-31,
DR033,0,KVA-NOMESCO,"Transfusion, helblod, allogen",4142651,SNOMED,1970-01-01,2099-12-31,
DR034,0,KVA-NOMESCO,"Transfusion, helblod, autolog",4035109,SNOMED,1970-01-01,2099-12-31,
DR036,0,KVA-NOMESCO,"Transfusion, plasma, allogen",4028665,SNOMED,1970-01-01,2099-12-31,
DR037,0,KVA-NOMESCO,"Transfusion, plasma, autolog",4028665,SNOMED,1970-01-01,2099-12-31,
DR055,0,KVA-NOMESCO,Citratdialys (i),4032243,SNOMED,1970-01-01,2099-12-31,
DR056,0,KVA-NOMESCO,Heparinfri dialys (i),4032243,SNOMED,1970-01-01,2099-12-31,
FCA50,0,KVA-NOMESCO,Resektion och rekonstruktion av aorta ascendens med kärlprotes,44782479,SNOMED,1970-01-01,2099-12-31,
FCA60,0,KVA-NOMESCO,Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av klaffbärande kärlprotes,44782479,SNOMED,1970-01-01,2099-12-31,
FJA12,0,KVA-NOMESCO,Perkutan transluminal biopsi av högra kammaren,4181954,SNOMED,1970-01-01,2099-12-31,
FKB10,0,KVA-NOMESCO,Anuloplastik med ring vid mitralinsufficiens,4337061,SNOMED,1970-01-01,2099-12-31,
FKC20,0,KVA-NOMESCO,Klaffsegelplastik vid mitralinsufficiens,4297235,SNOMED,1970-01-01,2099-12-31,
FKC60,0,KVA-NOMESCO,Resektion av mitralklaffsegel med rekonstruktion,4337060,SNOMED,1970-01-01,2099-12-31,
FKD00,0,KVA-NOMESCO,Implantation av mekanisk mitralklaffprotes,4160418,SNOMED,1970-01-01,2099-12-31,
FMD00,0,KVA-NOMESCO,Implantation av mekanisk aortaklaffprotes,4018561,SNOMED,1970-01-01,2099-12-31,
FMD10,0,KVA-NOMESCO,Implantation av biologisk aortaklaffprotes,40480947,SNOMED,1970-01-01,2099-12-31,
FNA00,0,KVA-NOMESCO,Anastomos mellan arteria thoracica interna och koronarartär,4168141,SNOMED,1970-01-01,2099-12-31,
FNA10,0,KVA-NOMESCO,Sekventiella anastomoser mellan arteria thoracica interna och koronarartärer,4000733,SNOMED,1970-01-01,2099-12-31,
FNC10,0,KVA-NOMESCO,Aortokoronar bypass med enkelt ventransplantat,4063237,SNOMED,1970-01-01,2099-12-31,
FNC20,0,KVA-NOMESCO,Aortokoronar bypass med två ventransplantat,4228304,SNOMED,1970-01-01,2099-12-31,
FNC30,0,KVA-NOMESCO,Aortokoronar bypass med tre ventransplantat,4228305,SNOMED,1970-01-01,2099-12-31,
FNC40,0,KVA-NOMESCO,Aortokoronar bypass med fyra ventransplantat,4063237,SNOMED,1970-01-01,2099-12-31,
FNE96,0,KVA-NOMESCO,Koronar bypass med annat fritt artärtransplantat,4336464,SNOMED,1970-01-01,2099-12-31,
FNG00,0,KVA-NOMESCO,Dilatation av koronarartär(er),4184832,SNOMED,1970-01-01,2099-12-31,
FNG02,0,KVA-NOMESCO,Perkutan transluminal koronarangioplastik (PTCA) (i),4006788,SNOMED,1970-01-01,2099-12-31,
FNG05,0,KVA-NOMESCO,Perkutan transluminal koronarangioplastik (PTCA) med inläggande av stent (i),4283892,SNOMED,1970-01-01,2099-12-31,
FNG06,0,KVA-NOMESCO,,4006788,SNOMED,1970-01-01,2099-12-31,
