source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
5,0,VaruNummer,"Risperdal®; Risperidon; 0,5 mg; FICOTA",735979,RxNorm,1970-01-01,2099-12-31,
15,0,VaruNummer,"Kenacort®-T; 0,1 %; ORMUPA",903963,RxNorm,1970-01-01,2099-12-31,
18,0,VaruNummer,Pevaryl®; 150 mg + 1 %; VGTCRE,940864,RxNorm,1970-01-01,2099-12-31,
20,0,VaruNummer,"Prevenar®; Vaccin mot pneumokockinfektioner, konjugerat polysackaridantigen 7-valent (Wyeth); SUSINJ",40163686,RxNorm,1970-01-01,2099-12-31,
22,0,VaruNummer,Crestor; Rosuvastatin; 20 mg; FICOTA,1510813,RxNorm,1970-01-01,2099-12-31,
32,0,VaruNummer,"Prevenar®; Vaccin mot pneumokockinfektioner, konjugerat polysackaridantigen 7-valent (Wyeth); SUSINJ",40163686,RxNorm,1970-01-01,2099-12-31,
34,0,VaruNummer,Cefamox®; Cefadroxil; 1 g; TABLET,1769535,RxNorm,1970-01-01,2099-12-31,
49,0,VaruNummer,Crestor; Rosuvastatin; 20 mg; FICOTA,40165253,RxNorm,1970-01-01,2099-12-31,
54,0,VaruNummer,NeoRecormon®; Epoetin beta; 4000 IE; SOIJPS,19001311,RxNorm,1970-01-01,2099-12-31,
55,0,VaruNummer,NeoRecormon®; 60 000 IE; PSSIJC,21026118,RxNorm Extension,1970-01-01,2099-12-31,
63,0,VaruNummer,Pulmicort Turbuhaler; Budesonid; 400 mikrogram/dos; INHPOW,939259,RxNorm,1970-01-01,2099-12-31,
72,0,VaruNummer,"Puregon®; Follitropin beta; 900 IE/1,08 ml; SOINCA",1597235,RxNorm,1970-01-01,2099-12-31,
78,0,VaruNummer,Lasix® Retard; 60 mg; PRRECH,956874,RxNorm,1970-01-01,2099-12-31,
79,0,VaruNummer,"Daonil®; Glibenklamid; 1,75 mg; TABLET",19106975,RxNorm,1970-01-01,2099-12-31,
85,0,VaruNummer,Glucos Baxter 50 mg/ml med Na 40+K 20; SOLINF,0,None,1970-01-01,2099-12-31,
87,0,VaruNummer,Glucos Baxter 25 mg/ml buffrad; Glukos; SOLINF,1560524,RxNorm,1970-01-01,2099-12-31,
89,0,VaruNummer,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,967823,RxNorm,1970-01-01,2099-12-31,
90,0,VaruNummer,Ringer Acetat Baxter; SOLINF,0,None,1970-01-01,2099-12-31,
94,0,VaruNummer,Ringer Glucos Baxter; SOLINF,0,None,1970-01-01,2099-12-31,
95,0,VaruNummer,Metronidazol Baxter; Metronidazol; 5 mg/ml; SOLINF,1707164,RxNorm,1970-01-01,2099-12-31,
99,0,VaruNummer,Buspiron Actavis; Buspiron; 5 mg; TABLET,733301,RxNorm,1970-01-01,2099-12-31,
106,0,VaruNummer,Atacand®; Kandesartan; 4 mg; TABLET,1351558,RxNorm,1970-01-01,2099-12-31,
117,0,VaruNummer,Xylocain® utan konserveringsmedel; 2 %; GEL1,989878,RxNorm,1970-01-01,2099-12-31,
124,0,VaruNummer,Valtrex; Valaciklovir; 500 mg; FICOTA,1717704,RxNorm,1970-01-01,2099-12-31,
134,0,VaruNummer,Megace; Megestrol; 160 mg; TABLET,1300978,RxNorm,1970-01-01,2099-12-31,
136,0,VaruNummer,Valtrex; Valaciklovir; 500 mg; FICOTA,1717704,RxNorm,1970-01-01,2099-12-31,
141,0,VaruNummer,Precosa; 250 mg; POSUSA,991855,RxNorm,1970-01-01,2099-12-31,
145,0,VaruNummer,NeoRecormon®; Epoetin beta; 6000 IE; SOIJPS,19001311,RxNorm,1970-01-01,2099-12-31,
147,0,VaruNummer,Valtrex; Valaciklovir; 500 mg; FICOTA,1717704,RxNorm,1970-01-01,2099-12-31,
149,0,VaruNummer,Losec®; 10 mg; GARETA,19102188,RxNorm,1970-01-01,2099-12-31,
153,0,VaruNummer,Losec®; 20 mg; GARETA,19102189,RxNorm,1970-01-01,2099-12-31,
160,0,VaruNummer,Valtrex; Valaciklovir; 500 mg; FICOTA,1717704,RxNorm,1970-01-01,2099-12-31,
164,0,VaruNummer,"Metacam® för hund; 1,5 mg/ml; ORASUS",0,None,1970-01-01,2099-12-31,
166,0,VaruNummer,Precosa; Saccharomyces boulardii; 250 mg; CAPHAR,991855,RxNorm,1970-01-01,2099-12-31,
182,0,VaruNummer,Precosa; Saccharomyces boulardii; 250 mg; CAPHAR,991855,RxNorm,1970-01-01,2099-12-31,
189,0,VaruNummer,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,967823,RxNorm,1970-01-01,2099-12-31,
195,0,VaruNummer,Denagard vet.; 125 mg/ml; SODRWA,0,None,1970-01-01,2099-12-31,
197,0,VaruNummer,Pentasa; Mesalazin; 500 mg; PRRETA,968426,RxNorm,1970-01-01,2099-12-31,
200,0,VaruNummer,Lasix® Retard; 30 mg; PRRECH,956874,RxNorm,1970-01-01,2099-12-31,
202,0,VaruNummer,Clinoril; Sulindak; 200 mg; TABLET,1236610,RxNorm,1970-01-01,2099-12-31,
