source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
FICOTA,0,VnrDoseForm,Film-coated tablet,19082573,RxNorm,1970-01-01,2099-12-31,
TABLET,0,VnrDoseForm,Tablet,19082573,RxNorm,1970-01-01,2099-12-31,
CAPHAR,0,VnrDoseForm,"Capsule, hard",19082077,RxNorm,1970-01-01,2099-12-31,
PRRETA,0,VnrDoseForm,Prolonged-release tablet,19082079,RxNorm,1970-01-01,2099-12-31,
SOLINJ,0,VnrDoseForm,Solution for injection,19082103,RxNorm,1970-01-01,2099-12-31,
GARETA,0,VnrDoseForm,Gastro-resistant tablet,19001949,RxNorm,1970-01-01,2099-12-31,
GARECH,0,VnrDoseForm,"Gastro-resistant capsule, hard",19082255,RxNorm,1970-01-01,2099-12-31,
SOIJPS,0,VnrDoseForm,"Solution for injection, pre-filled syringe",19126920,RxNorm,1970-01-01,2099-12-31,
ORDITA,0,VnrDoseForm,Orodispersible tablet,19082573,RxNorm,1970-01-01,2099-12-31,
PRRECH,0,VnrDoseForm,"Prolonged-release capsule, hard",19082077,RxNorm,1970-01-01,2099-12-31,
SOLINF,0,VnrDoseForm,Infusion,19082103,RxNorm,1970-01-01,2099-12-31,
DISTAB,0,VnrDoseForm,Dispersible tablet,19082076,RxNorm,1970-01-01,2099-12-31,
SOPEDI,0,VnrDoseForm,Solution for peritoneal dialysis,19082105,RxNorm,1970-01-01,2099-12-31,
COSINF,0,VnrDoseForm,Concentrate for solution for infusion,19082103,RxNorm,1970-01-01,2099-12-31,
CHETAB,0,VnrDoseForm,Chewable tablet,19135866,RxNorm,1970-01-01,2099-12-31,
TRAPAT,0,VnrDoseForm,transdermal patch,19082229,RxNorm,1970-01-01,2099-12-31,
PSSOIJ,0,VnrDoseForm,Powder and solvent for solution for injection,45775491,RxNorm,1970-01-01,2099-12-31,
MECHGU,0,VnrDoseForm,medicated chewing gum,19102296,RxNorm,1970-01-01,2099-12-31,
SUSINJ,0,VnrDoseForm,Suspension for injection,19082104,RxNorm,1970-01-01,2099-12-31,
EMUINF,0,VnrDoseForm,Emulsion for infusion,19082104,RxNorm,1970-01-01,2099-12-31,
ORASOL,0,VnrDoseForm,Oral solution,19082170,RxNorm,1970-01-01,2099-12-31,
INHPOW,0,VnrDoseForm,Inhalation powder,19082259,RxNorm,1970-01-01,2099-12-31,
SPONSO,0,VnrDoseForm,Spot-on solution,19111276,RxNorm,1970-01-01,2099-12-31,
COATAB,0,VnrDoseForm,coated tablet,19082573,RxNorm,1970-01-01,2099-12-31,
SULITA,0,VnrDoseForm,Sublingual tablet,19082285,RxNorm,1970-01-01,2099-12-31,
INPOPD,0,VnrDoseForm,"Inhalation powder, pre-dispensed",19082259,RxNorm,1970-01-01,2099-12-31,
SOINPP,0,VnrDoseForm,Solution for injection prefilled pen,46234467,RxNorm,1970-01-01,2099-12-31,
CAPSOF,0,VnrDoseForm,"Capsule, soft",19082168,RxNorm,1970-01-01,2099-12-31,
CREAM,0,VnrDoseForm,Cream,19082224,RxNorm,1970-01-01,2099-12-31,
EYDRSO,0,VnrDoseForm,Eye Drops,19129634,RxNorm,1970-01-01,2099-12-31,
EFFTAB,0,VnrDoseForm,Effervescent tablet,44817840,RxNorm,1970-01-01,2099-12-31,
SOIJIF,0,VnrDoseForm,Solution for injection/infusion,19082103,RxNorm,1970-01-01,2099-12-31,
POSOIF,0,VnrDoseForm,Powder for solution for infusion,0,None,1970-01-01,2099-12-31,
POSOIJ,0,VnrDoseForm,Powder for solution for injection,0,None,1970-01-01,2099-12-31,
POSOII,0,VnrDoseForm,Powder for solution for injection/infusion,0,None,1970-01-01,2099-12-31,
LOZENG,0,VnrDoseForm,Lozenge,19082253,RxNorm,1970-01-01,2099-12-31,
ORASUS,0,VnrDoseForm,Oral suspension,19082191,RxNorm,1970-01-01,2099-12-31,
MEGACO,0,VnrDoseForm,"Medicinal gas, compressed",19082258,RxNorm,1970-01-01,2099-12-31,
SUINPS,0,VnrDoseForm,"Suspension for injection, pre-filled syringe",19126920,RxNorm,1970-01-01,2099-12-31,
INPOHC,0,VnrDoseForm,"Inhalation powder, hard capsule",19082259,RxNorm,1970-01-01,2099-12-31,
OINTME,0,VnrDoseForm,Ointment,19082227,RxNorm,1970-01-01,2099-12-31,
MORETA,0,VnrDoseForm,Modified-release tablet,19082079,RxNorm,1970-01-01,2099-12-31,
PSSUIJ,0,VnrDoseForm,Powder and solvent for suspension for injection,0,None,1970-01-01,2099-12-31,
GEL1,0,VnrDoseForm,Gel,19095973,RxNorm,1970-01-01,2099-12-31,
ORALYO,0,VnrDoseForm,Lyophilisates,0,None,1970-01-01,2099-12-31,
POSOSA,0,VnrDoseForm,Powder for oral solution in sachet,45775491,RxNorm,1970-01-01,2099-12-31,
PCSOIF,0,VnrDoseForm,Powder for concentrate for solution for infusion,0,None,1970-01-01,2099-12-31,
