VARUNR,LNAMN,FREQUENCY,TARGET_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_CONCEPT_CLASS_ID
139857,"Waran, tablett 2,5 mg",4191938,40163534,Warfarin Sodium 2.5 MG Oral Tablet,Clinical Drug
1363,"Trombyl, tablett 75 mg",3486178,19004043,Aspirin 75 MG Oral Tablet,Clinical Drug
168146,"Trombyl, tablett 75 mg",2990872,19004043,Aspirin 75 MG Oral Tablet,Clinical Drug
411991,"Digoxin BioPhausia, tablett 0,13 mg",2671618,19018935,Digoxin 0.125 MG Oral Tablet,Clinical Drug
556993,"Trombyl, tablett 160 mg",2576447,19108857,Aspirin 160 MG,Clinical Drug Comp
16317,"Impugan, tablett 40 mg",2286567,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
60105,"Metoprolol Sandoz, depottablett 50 mg",1148848,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
416719,"Kalcipos-D, filmdragerad tablett 500 mg/400 IE",1052122,NA,NA,Not Mapped*
556670,"Spironolakton Pfizer, tablett 25 mg",1011802,19079658,Spironolactone 25 MG Oral Tablet,Clinical Drug
390849,"Furix, tablett 40 mg",946347,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
13186,"Omeprazol ratiopharm, enterokapsel, hård 20 mg",885492,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
135491,"Lasix Retard, depotkapsel, hård 30 mg Sanofi AB",864768,19103817,Furosemide 30 MG Extended Release Oral Capsule,Clinical Drug
52123,"Metoprolol Sandoz, depottablett 100 mg",851173,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
13195,"Omeprazol ratiopharm, enterokapsel, hård 20 mg",799350,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
171306,"Imdur, depottablett 30 mg",779788,19069136,Isosorbide Mononitrate,Ingredient
59515,"Metoprolol Sandoz, depottablett 25 mg",668805,40167211,metoprolol succinate 25 MG Extended Release Oral Tablet,Clinical Drug
