source_code,source_description
AAA00,Explorativ kraniotomi
AAA10,Biopsi via kraniotomi
AAA20,Inläggande av intrakraniell tryckmätare
AAA25,Inläggande av epidural tryckmätare
AAA27,Inläggande av intracerebral tryckmätare
AAA30,Inläggande av epidurala elektroder
AAA35,Inläggande av subdurala elektroder
AAA40,Inläggande av intracerebrala elektroder
AAA50,Intrakraniell endoskopi
AAA99,Annan diagnostisk intrakraniell operation
AAB00,Exstirpation av intrakraniell förändring
AAB10,Resektion av intrakraniell förändring
AAB20,Destruktion av intrakraniell förändring
AAB30,Utrymning av spontant intrakraniellt hematom
AAB99,Annan operation på intrakraniell förändring
AAC00,Stjälkligatur av intrakraniellt aneurysm
AAC05,Proximal ligatur av intrakraniellt aneurysm
AAC10,Väggförstärkning av intrakraniellt aneurysm
AAC15,Trapping av intrakraniellt aneurysm
AAC20,Intrakraniell kärlanastomos
AAC30,Ocklusion av intrakraniell fistel
AAC40,Exstirpation av intrakraniell arteriovenös missbildning
AAC99,Annan intrakraniell kärloperation
AAD00,Utrymning av epiduralt hematom
AAD05,Utrymning av akut subduralt hematom
AAD10,Utrymning av kroniskt subduralt hematom
AAD15,Utrymning av traumatiskt intracerebralt hematom
AAD30,Revision av penetrerande eller perforerande skallskada
AAD40,Revision av skallfraktur
AAD99,Annan operation p.g.a. kraniell eller intrakraniell traumatisk förändring
AAE00,Transsfenoidal exploration
AAE10,Transsfenoidal total eller partiell exstirpation av intrakraniell förändring
AAE20,Transoral total eller partiell exstirpation av intrakraniell förändring
AAE25,Transcervikal total eller partiell exstirpation av intrakraniell förändring
AAE30,Translabyrintär total eller partiell exstirpation av intrakraniell förändring
AAE40,Transtemporal total eller partiell exstirpation av intrakraniell förändring
AAE50,Zygomatikotemporal total eller partiell exstirpation av intrakraniell förändring
AAE99,Annan kraniobasal operation
AAF00,Ventrikulostomi
AAF05,Ventrikuloperitoneal shunt
AAF10,Lumboperitoneal shunt
AAF15,Ventrikuloatrial shunt
AAF20,Revision av ventrikelshunt
AAF25,Borttagande av ventrikelshunt
AAF30,Inläggande av intraventrikulär injektionsport
AAF35,Inläggande av reservoar för intraventrikulär behandling
