source_column_name,data_type,required,target_column_name,description
dodsdat,,1,dodsdat,
dodsdatn,,,dodsdatn,
ar,,,ar,
kon,,,kon,
ulorsak,,1,ulorsak,
morsak1,,,morsak1,
morsak2,,,morsak2,
morsak3,,,morsak3,
morsak4,,,morsak4,
morsak5,,,morsak5,
morsak6,,,morsak6,
dbgrund1,,,dbgrund1,
dalddag,,,dalddag,
daldman,,,daldman,
alder,,,alder,
fciv,,,fciv,
nation,,,nation,
lpnr,,1,lpnr,
morsak7,,,morsak7,
morsak8,,,morsak8,
morsak9,,,morsak9,
morsak10,,,morsak10,
morsak11,,,morsak11,
morsak12,,,morsak12,
dbgrund5,,,dbgrund5,
dbgrund6,,,dbgrund6,
dbgrund7,,,dbgrund7,
dbgrund8,,,dbgrund8,
alkohol,,,alkohol,
narkotik,,,narkotik,
dodutl,,,dodutl,
opererad,,,opererad,
opdat,,,opdat,
skada,,,skada,
mord,,,mord,
dodspl,,,dodspl,
aolycka,,,aolycka,
morsak13,,,morsak13,
morsak14,,,morsak14,
morsak15,,,morsak15,
morsak16,,,morsak16,
morsak17,,,morsak17,
morsak18,,,morsak18,
morsak19,,,morsak19,
morsak20,,,morsak20,
morsak21,,,morsak21,
morsak22,,,morsak22,
morsak23,,,morsak23,
morsak24,,,morsak24,
morsak25,,,morsak25,
morsak26,,,morsak26,
morsak27,,,morsak27,
morsak28,,,morsak28,
morsak29,,,morsak29,
morsak30,,,morsak30,
morsak31,,,morsak31,
morsak32,,,morsak32,
morsak33,,,morsak33,
morsak34,,,morsak34,
morsak35,,,morsak35,
morsak36,,,morsak36,
morsak37,,,morsak37,
morsak38,,,morsak38,
morsak39,,,morsak39,
morsak40,,,morsak40,
morsak41,,,morsak41,
morsak42,,,morsak42,
morsak43,,,morsak43,
morsak44,,,morsak44,
morsak45,,,morsak45,
morsak46,,,morsak46,
morsak47,,,morsak47,
morsak48,,,morsak48,
lan_kom,,,lan_kom,
lan_text,,,lan_text,
skadans_natur,,,skadans_natur,
code_type,,,code_type,
code,,,code,
