source_column_name,data_type,required,target_column_name,description
atc,varchar(10),1,atc,
forpstl,varchar(20),,forpstl,
lnamn,varchar(100),,lnamn,
varunr,integer,,varunr,
lpnr,integer,1,lpnr,
edatum,varchar(20),1,edatum,
fdatum,varchar(20),,fdatum,
transtyp,varchar(10),,transtyp,
otyp,varchar(10),,otyp,
ftyp,varchar(10),,ftyp,
yrke,varchar(10),,yrke,
vform,varchar(5),,vform,
verks,varchar(5),,verks,
startfp,integer,,startfp,
bytet,integer,,bytet,
bytesk,varchar(10),,bytesk,
fvaruid,integer,,fvaruid,
fantal,decimal,,fantal,
varutyp,varchar(10),,varutyp,
antal,decimal,,antal,
tkost,decimal,,tkost,
merkost,decimal,,merkost,
spkod1,integer,,spkod1,
spkod2,integer,,spkod2,
spkod3,integer,,spkod3,
alder,integer,,alder,
lankost,decimal,,lankost,
patkost,decimal,,patkost,
doser,varchar(500),,doser,
kon,integer,,kon,
aform,varchar(5),,aform,
utfkat,varchar(10),,utfkat,
recb,varchar(10),,recb,
lk,integer,,lk,
arbetsplats,varchar(5),,arbetsplats,
fatc,varchar(10),,fatc,
exp_ar,varchar(10),,exp_ar,
dddforp,decimal,,dddforp,
berf,varchar(20),,berf,
lform,varchar(100),,lform,
lformgrupp,varchar(30),,lformgrupp,
styrknum,decimal,,styrknum,
strykalf,varchar(100),,strykalf,
produktnanmn,varchar(100),,produktnanmn,
beredningsform,varchar(100),,beredningsform,
beredningsgrupp,varchar(100),,beredningsgrupp,
receptbelagt,varchar(10),,receptbelagt,
styrka_tf,varchar(30),,styrka_tf,
styrka_alf,varchar(100),,styrka_alf,
styrka_enh,varchar(30),,styrka_enh,
quantity,integer,,quantity,
