sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
mg,mg,0,8576,1.0,AUTO_MAPPED_TO_1,8576,
mikrog,mikrog,0,9655,0.14605017006397247,AUTO_MAPPED_TO_1,9655,
E/ml,E/ml,0,,0.5955828428268433,UNCHECKED,0,
mg/dos,mg/dos,0,,0.966094970703125,UNCHECKED,45756916,
IE/ml,IE/ml,0,,0.41431137919425964,UNCHECKED,0,
enheter/ml,enheter/ml,0,,0.572771430015564,UNCHECKED,0,
IE,IE,0,,1.0,UNCHECKED,0,
mg/ml,mg/ml,0,,1.0,UNCHECKED,8861,
g,g,0,8504,11.119991302490234,AUTO_MAPPED_TO_1,8504,
anti-Xa IE,anti-Xa IE,0,,0.24210363626480103,UNCHECKED,0,
mikrog/24 timmar,mikrog/24 timmar,0,,0.36831915378570557,UNCHECKED,0,
mg/g,mg/g,0,,1.0,UNCHECKED,8723,
%,%,0,,0.0,UNCHECKED,0,
mikrog/g,mikrog/g,0,,0.5760279893875122,UNCHECKED,8720,
mikrog/dos,mikrog/dos,0,,0.5593293309211731,UNCHECKED,0,
Ospecificerad,Ospecificerad,0,,0.6874430179595947,UNCHECKED,0,
mg/24 timmar,mg/24 timmar,0,,0.5462113618850708,UNCHECKED,0,
mikrog/ml,mikrog/ml,0,,0.4447678029537201,UNCHECKED,0,
anti-Xa IE/ml,anti-Xa IE/ml,0,,0.20216627418994904,UNCHECKED,0,
ELISA U/ml,ELISA U/ml,0,,0.6425090432167053,UNCHECKED,0,
enheter,enheter,0,,0.522061288356781,UNCHECKED,0,
E,E,0,,0.0,UNCHECKED,0,
