sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:ATC_code,ADD_INFO:drug_form,ADD_INFO:strength,ADD_INFO:brand,matchScore,mappingStatus,conceptId
5,"Risperdal®; Risperidon; 0,5 mg; FICOTA",1,,N05AX08,FICOTA,"0,5 mg",Risperdal®,0.5,AUTO_MAPPED,735979
15,"Kenacort®-T; 0,1 %; ORMUPA",1,,A01AC01,ORMUPA,"0,1 %",Kenacort®-T,0.5,AUTO_MAPPED,903963
18,Pevaryl®; 150 mg + 1 %; VGTCRE,1,,G01AF05,VGTCRE,150 mg + 1 %,Pevaryl®,0.5,AUTO_MAPPED,940864
20,"Prevenar®; Vaccin mot pneumokockinfektioner, konjugerat polysackaridantigen 7-valent (Wyeth); SUSINJ",1,,J07AL02,SUSINJ,,Prevenar®,0.5,AUTO_MAPPED,40163686
22,Crestor; Rosuvastatin; 20 mg; FICOTA,1,,C10AA07,FICOTA,20 mg,Crestor,0.5,AUTO_MAPPED,1510813
32,"Prevenar®; Vaccin mot pneumokockinfektioner, konjugerat polysackaridantigen 7-valent (Wyeth); SUSINJ",1,,J07AL02,SUSINJ,,Prevenar®,0.5,AUTO_MAPPED,40163686
34,Cefamox®; Cefadroxil; 1 g; TABLET,1,,J01DB05,TABLET,1 g,Cefamox®,0.5,AUTO_MAPPED,1769535
49,Crestor; Rosuvastatin; 20 mg; FICOTA,7976,,C10AA07,FICOTA,20 mg,Crestor,0.5,AUTO_MAPPED,40165253
54,NeoRecormon®; Epoetin beta; 4000 IE; SOIJPS,6489,,B03XA01,SOIJPS,4000 IE,NeoRecormon®,0.5,AUTO_MAPPED,19001311
55,NeoRecormon®; 60 000 IE; PSSIJC,10,,B03XA01,PSSIJC,60 000 IE,NeoRecormon®,0.5,UNCHECKED,0
63,Pulmicort Turbuhaler; Budesonid; 400 mikrogram/dos; INHPOW,1,,R03BA02,INHPOW,400 mikrogram/dos,Pulmicort Turbuhaler,0.5,AUTO_MAPPED,939259
72,"Puregon®; Follitropin beta; 900 IE/1,08 ml; SOINCA",1,,G03GA06,SOINCA,"900 IE/1,08 ml",Puregon®,0.5,AUTO_MAPPED,1597235
78,Lasix® Retard; 60 mg; PRRECH,1,,C03CA01,PRRECH,60 mg,Lasix® Retard,0.5,AUTO_MAPPED,956874
79,"Daonil®; Glibenklamid; 1,75 mg; TABLET",10895,,A10BB01,TABLET,"1,75 mg",Daonil®,0.5,AUTO_MAPPED,19106975
85,Glucos Baxter 50 mg/ml med Na 40+K 20; SOLINF,1,,B05BB02,SOLINF,,Glucos Baxter 50 mg/ml med Na 40+K 20,0.5,UNCHECKED,0
87,Glucos Baxter 25 mg/ml buffrad; Glukos; SOLINF,1,,B05BA03,SOLINF,,Glucos Baxter 25 mg/ml buffrad,0.5,AUTO_MAPPED,1560524
89,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
90,Ringer Acetat Baxter; SOLINF,1,,B05BB01,SOLINF,,Ringer Acetat Baxter,0.5,UNCHECKED,0
94,Ringer Glucos Baxter; SOLINF,1,,B05BB02,SOLINF,,Ringer Glucos Baxter,0.5,UNCHECKED,0
95,Metronidazol Baxter; Metronidazol; 5 mg/ml; SOLINF,1,,J01XD01,SOLINF,5 mg/ml,Metronidazol Baxter,0.5,AUTO_MAPPED,1707164
99,Buspiron Actavis; Buspiron; 5 mg; TABLET,1,,N05BE01,TABLET,5 mg,Buspiron Actavis,0.5,AUTO_MAPPED,733301
106,Atacand®; Kandesartan; 4 mg; TABLET,59,,C09CA06,TABLET,4 mg,Atacand®,0.5,AUTO_MAPPED,1351558
117,Xylocain® utan konserveringsmedel; 2 %; GEL1,1,,N01BB02,GEL1,2 %,Xylocain® utan konserveringsmedel,0.5,AUTO_MAPPED,989878
124,Valtrex; Valaciklovir; 500 mg; FICOTA,1,,J05AB11,FICOTA,500 mg,Valtrex,0.5,AUTO_MAPPED,1717704
134,Megace; Megestrol; 160 mg; TABLET,1,,L02AB01,TABLET,160 mg,Megace,0.5,AUTO_MAPPED,1300978
136,Valtrex; Valaciklovir; 500 mg; FICOTA,1,,J05AB11,FICOTA,500 mg,Valtrex,0.5,AUTO_MAPPED,1717704
141,Precosa; 250 mg; POSUSA,1,,A07FA02,POSUSA,250 mg,Precosa,0.5,AUTO_MAPPED,991855
145,NeoRecormon®; Epoetin beta; 6000 IE; SOIJPS,3061,,B03XA01,SOIJPS,6000 IE,NeoRecormon®,0.5,AUTO_MAPPED,19001311
147,Valtrex; Valaciklovir; 500 mg; FICOTA,1,,J05AB11,FICOTA,500 mg,Valtrex,0.5,AUTO_MAPPED,1717704
149,Losec®; 10 mg; GARETA,42,,A02BC01,GARETA,10 mg,Losec®,0.5,AUTO_MAPPED,19102188
153,Losec®; 20 mg; GARETA,67,,A02BC01,GARETA,20 mg,Losec®,0.5,AUTO_MAPPED,19102189
160,Valtrex; Valaciklovir; 500 mg; FICOTA,1,,J05AB11,FICOTA,500 mg,Valtrex,0.5,AUTO_MAPPED,1717704
164,"Metacam® för hund; 1,5 mg/ml; ORASUS",1,,QM01AC06,ORASUS,"1,5 mg/ml",Metacam® för hund,0.5,UNCHECKED,0
166,Precosa; Saccharomyces boulardii; 250 mg; CAPHAR,1,,A07FA02,CAPHAR,250 mg,Precosa,0.5,AUTO_MAPPED,991855
182,Precosa; Saccharomyces boulardii; 250 mg; CAPHAR,1,,A07FA02,CAPHAR,250 mg,Precosa,0.5,AUTO_MAPPED,991855
189,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
195,Denagard vet.; 125 mg/ml; SODRWA,1,,QJ01XQ01,SODRWA,125 mg/ml,Denagard vet.,0.5,UNCHECKED,0
197,Pentasa; Mesalazin; 500 mg; PRRETA,1,,A07EC02,PRRETA,500 mg,Pentasa,0.5,AUTO_MAPPED,968426
200,Lasix® Retard; 30 mg; PRRECH,1,,C03CA01,PRRECH,30 mg,Lasix® Retard,0.5,AUTO_MAPPED,956874
202,Clinoril; Sulindak; 200 mg; TABLET,3,,M01AB02,TABLET,200 mg,Clinoril,0.5,AUTO_MAPPED,1236610
204,"Mobic; Meloxikam; 7,5 mg; TABLET",1,,M01AC06,TABLET,"7,5 mg",Mobic,0.5,AUTO_MAPPED,1150345
209,"Metacam® för hund; 1,5 mg/ml; ORASUS",1,,QM01AC06,ORASUS,"1,5 mg/ml",Metacam® för hund,0.5,UNCHECKED,0
211,"Prevenar®; Vaccin mot pneumokockinfektioner, konjugerat polysackaridantigen 7-valent (Wyeth); SUINPS",1,,J07AL02,SUINPS,,Prevenar®,0.5,AUTO_MAPPED,40163686
212,"Daonil®; Glibenklamid; 3,5 mg; TABLET",12526,,A10BB01,TABLET,"3,5 mg",Daonil®,0.5,AUTO_MAPPED,19106974
225,"Metacam® för hund; 1,5 mg/ml; ORASUS",1,,QM01AC06,ORASUS,"1,5 mg/ml",Metacam® för hund,0.5,UNCHECKED,0
231,Metacam® för hund och katt; 5 mg/ml; SOLINJ,1,,QM01AC06,SOLINJ,5 mg/ml,Metacam® för hund och katt,0.5,UNCHECKED,0
239,"Prevenar®; Vaccin mot pneumokockinfektioner, konjugerat polysackaridantigen 7-valent (Wyeth); SUINPS",1,,J07AL02,SUINPS,,Prevenar®,0.5,AUTO_MAPPED,40163686
246,Glucos Baxter; 100 mg/ml; SOLINF,1,,B05BA03,SOLINF,100 mg/ml,Glucos Baxter,0.5,UNCHECKED,0
250,Zyprexa® Velotab; Olanzapin; 10 mg; ORALYO,1,,N05AH03,ORALYO,10 mg,Zyprexa® Velotab,0.5,AUTO_MAPPED,785788
259,Glucos Baxter; 100 mg/ml; SOLINF,1,,B05BA03,SOLINF,100 mg/ml,Glucos Baxter,0.5,UNCHECKED,0
262,Zyprexa® Velotab; Olanzapin; 15 mg; ORALYO,1,,N05AH03,ORALYO,15 mg,Zyprexa® Velotab,0.5,AUTO_MAPPED,785788
273,Albumin Baxter; 50 mg/ml; SOLINF,1,,B05AA01,SOLINF,50 mg/ml,Albumin Baxter,0.5,UNCHECKED,0
